Date,Price,Open,High,Low,Vol.,Change %
6-Aug-20,92.768,92.78,93.085,92.475,24.33K,-0.09%
5-Aug-20,92.85,93.145,93.235,92.535,20.13K,-0.57%
4-Aug-20,93.378,93.505,93.815,93.215,18.00K,-0.14%
3-Aug-20,93.507,93.39,93.98,93.295,24.99K,0.20%
31-Jul-20,93.321,92.775,93.525,92.51,28.57K,0.34%
30-Jul-20,93.009,93.305,93.64,92.89,26.95K,-0.45%
29-Jul-20,93.432,93.71,93.77,93.12,24.75K,-0.23%
28-Jul-20,93.647,93.49,93.965,93.45,23.58K,0.03%
27-Jul-20,93.615,94.345,94.375,93.42,23.56K,-0.81%
24-Jul-20,94.38,94.75,94.78,94.1,18.25K,-0.28%
23-Jul-20,94.649,94.955,95.15,94.54,17.88K,-0.30%
22-Jul-20,94.93,95.09,95.375,94.775,17.68K,-0.14%
21-Jul-20,95.06,95.7,95.87,94.98,24.68K,-0.74%
20-Jul-20,95.772,96,96.145,95.675,18.20K,-0.12%
17-Jul-20,95.889,96.26,96.295,95.845,11.60K,-0.45%
16-Jul-20,96.319,95.975,96.38,95.845,18.27K,0.29%
15-Jul-20,96.039,96.12,96.215,95.72,14.53K,-0.17%
14-Jul-20,96.207,96.52,96.67,96.125,12.97K,-0.21%
13-Jul-20,96.407,96.585,96.64,96.205,18.71K,-0.21%
10-Jul-20,96.614,96.745,96.96,96.395,16.73K,-0.06%
9-Jul-20,96.673,96.415,96.78,96.18,21.92K,0.32%
8-Jul-20,96.368,96.91,97.005,96.345,18.91K,-0.49%
7-Jul-20,96.839,96.7,97.105,96.555,16.29K,0.16%
6-Jul-20,96.682,97.19,97.19,96.5,20.09K,-0.64%
3-Jul-20,97.301,97.21,97.35,97.145,5.24K,0.00%
2-Jul-20,97.301,97.14,97.335,96.79,17.42K,0.15%
1-Jul-20,97.155,97.375,97.615,96.985,16.05K,-0.20%
30-Jun-20,97.349,97.39,97.81,97.185,18.34K,-0.16%
29-Jun-20,97.501,97.475,97.61,97.085,13.59K,0.10%
26-Jun-20,97.404,97.335,97.665,97.235,10.76K,0.02%
25-Jun-20,97.388,97.21,97.585,97.135,16.12K,0.27%
24-Jun-20,97.129,96.605,97.205,96.5,18.30K,0.54%
23-Jun-20,96.608,96.84,97.215,96.32,21.21K,-0.39%
22-Jun-20,96.985,97.63,97.7,96.94,15.16K,-0.61%
19-Jun-20,97.577,97.4,97.7,97.115,18.10K,0.18%
18-Jun-20,97.4,97.08,97.555,96.93,13.31K,0.26%
17-Jun-20,97.144,96.95,97.35,96.765,15.42K,0.22%
16-Jun-20,96.933,96.49,97.24,96.385,21.71K,-0.05%
15-Jun-20,96.978,97.17,97.385,97.035,0.54K,-0.34%
12-Jun-20,97.305,96.835,97.455,96.505,7.39K,0.59%
11-Jun-20,96.739,96.145,96.82,95.945,16.97K,0.82%
10-Jun-20,95.95,96.445,96.465,95.705,29.44K,-0.39%
9-Jun-20,96.321,96.635,97.065,96.215,19.69K,-0.30%
8-Jun-20,96.608,96.935,97.065,96.58,19.42K,-0.32%
5-Jun-20,96.922,96.765,97.05,96.43,23.99K,0.27%
4-Jun-20,96.657,97.32,97.635,96.56,30.71K,-0.62%
3-Jun-20,97.259,97.57,97.615,97.155,25.24K,-0.41%
2-Jun-20,97.659,97.86,97.9,97.42,15.32K,-0.16%
1-Jun-20,97.82,98.265,98.335,97.77,15.02K,-0.53%
29-May-20,98.341,98.47,98.55,97.935,21.71K,-0.03%
28-May-20,98.372,98.93,99.095,98.335,25.98K,-0.69%
27-May-20,99.058,99.01,99.36,98.715,20.95K,0.15%
26-May-20,98.906,99.76,99.785,98.895,18.17K,-0.98%
25-May-20,99.888,99.79,99.995,99.7,4.07K,0.00%
22-May-20,99.888,99.445,99.9,99.4,13.88K,0.49%
21-May-20,99.403,99.18,99.54,99.03,11.52K,0.27%
20-May-20,99.135,99.56,99.57,99.005,13.17K,-0.23%
19-May-20,99.366,99.635,99.755,99.245,18.18K,-0.32%
18-May-20,99.681,100.435,100.515,99.595,17.63K,-0.75%
15-May-20,100.434,100.305,100.515,100.095,12.71K,-0.07%
14-May-20,100.507,100.245,100.605,100.2,13.87K,0.22%
13-May-20,100.291,100.055,100.325,99.585,14.30K,0.34%
12-May-20,99.956,100.27,100.51,99.685,12.08K,-0.31%
11-May-20,100.27,99.86,100.35,99.69,14.20K,0.50%
8-May-20,99.769,99.84,99.97,99.46,11.06K,-0.14%
7-May-20,99.906,100.265,100.455,99.825,13.98K,-0.23%
6-May-20,100.136,99.84,100.265,99.8,8.86K,0.37%
5-May-20,99.762,99.58,100.07,99.375,12.35K,0.20%
4-May-20,99.567,99.1,99.655,99.09,14.59K,0.47%
1-May-20,99.1,99.13,99.225,98.765,12.23K,0.07%
30-Apr-20,99.028,99.55,99.8,98.83,26.66K,-0.62%
29-Apr-20,99.644,99.935,99.955,99.515,10.39K,-0.29%
28-Apr-20,99.934,100.155,100.295,99.485,13.66K,-0.16%
27-Apr-20,100.097,100.27,100.37,99.84,11.46K,-0.34%
24-Apr-20,100.434,100.615,100.975,100.25,11.91K,-0.10%
23-Apr-20,100.535,100.595,100.85,100.12,22.23K,0.01%
22-Apr-20,100.528,100.33,100.625,99.99,11.26K,0.15%
21-Apr-20,100.374,100.055,100.63,100.03,16.31K,0.32%
20-Apr-20,100.058,99.77,100.185,99.75,13.17K,0.22%
17-Apr-20,99.836,99.97,100.355,99.66,12.80K,-0.26%
16-Apr-20,100.1,99.67,100.39,99.64,13.51K,0.62%
15-Apr-20,99.486,98.82,100.06,98.82,15.57K,0.61%
14-Apr-20,98.885,99.38,99.435,98.815,11.13K,-0.45%
13-Apr-20,99.336,99.495,99.64,99.11,9.03K,-0.17%
9-Apr-20,99.504,100.2,100.345,99.31,16.15K,-0.66%
8-Apr-20,100.17,99.98,100.51,99.95,11.10K,0.26%
7-Apr-20,99.914,100.83,100.83,99.715,15.56K,-0.83%
6-Apr-20,100.755,100.865,101.03,100.535,11.18K,0.08%
3-Apr-20,100.677,100.305,100.965,100.24,10.32K,0.40%
2-Apr-20,100.271,99.625,100.5,99.445,12.72K,0.52%
1-Apr-20,99.753,99.025,99.915,98.955,12.13K,0.67%
31-Mar-20,99.092,99.285,100.125,98.875,18.58K,-0.19%
30-Mar-20,99.281,98.43,99.445,98.395,11.21K,0.76%
27-Mar-20,98.537,99.43,100.02,98.345,15.81K,-0.92%
26-Mar-20,99.453,100.97,101.08,99.365,15.00K,-1.53%
25-Mar-20,100.997,101.865,102.11,100.835,13.89K,-1.22%
24-Mar-20,102.247,102.83,102.915,101.555,20.69K,-0.96%
23-Mar-20,103.24,103.15,103.96,102.3,21.53K,-0.25%
20-Mar-20,103.502,103.78,103.825,101.905,23.16K,-0.10%
19-Mar-20,103.605,101.13,103.7,101.045,34.70K,2.03%
18-Mar-20,101.543,99.695,102.04,99.385,26.16K,1.74%
17-Mar-20,99.804,98.225,100.075,98.105,26.90K,1.59%
16-Mar-20,98.24,97.985,98.47,97.555,0.13K,-0.53%
13-Mar-20,98.764,97.495,98.845,97.335,17.20K,1.33%
12-Mar-20,97.464,96.62,98.335,96.055,44.99K,1.01%
11-Mar-20,96.492,96.285,96.61,95.9,37.23K,0.11%
10-Mar-20,96.389,95.375,96.58,95.18,64.64K,1.60%
9-Mar-20,94.87,95.72,95.78,94.61,102.13K,-1.11%
6-Mar-20,95.934,96.645,96.655,95.685,42.51K,-0.88%
5-Mar-20,96.79,97.345,97.41,96.49,24.40K,-0.53%
4-Mar-20,97.307,97.145,97.565,97.07,22.20K,0.19%
3-Mar-20,97.122,97.52,97.655,96.875,51.42K,-0.20%
2-Mar-20,97.319,97.985,98.045,97.135,45.68K,-0.78%
28-Feb-20,98.081,98.39,98.615,97.91,41.69K,-0.39%
27-Feb-20,98.461,98.965,98.995,98.295,28.47K,-0.48%
26-Feb-20,98.938,98.99,99.2,98.85,18.10K,0.04%
25-Feb-20,98.901,99.26,99.32,98.81,22.34K,-0.39%
24-Feb-20,99.284,99.38,99.57,99.03,23.27K,0.10%
